fund_name,asset_class,category,classification,aum_cr,expense_ratio,return_1y,return_3y,return_5y,sharpe,std_dev,alpha,beta
Sundaram Corp Bond Fund(G),Debt MF,DT-CORP,Debt : Corporate Bond,627.0,0.64,6.23,6.91,5.91,0.11,0.31,,
Sundaram Liquid Fund(G),Debt MF,DT-LIQ,Debt : Liquid,6221.0,0.35,6.11,6.82,5.84,0.19,1.3,,
Sundaram Medium Duration Fund(G),Debt MF,DT-MD,Debt : Medium Duration,35.0,2.06,4.57,5.51,4.22,-0.16,1.02,,
Sundaram Money Market Fund-Reg(G),Debt MF,DT-MM,Debt : Money Market,2334.0,0.32,6.88,7.19,6.04,0.44,3.25,,
Sundaram Overnight Fund-Reg(G),Debt MF,DT-ON,Debt : Overnight,1117.0,0.17,5.39,6.2,5.38,-0.73,0.19,,
Sundaram Ultra Short Duration Fund(G),Debt MF,DT-USD,Debt : Ultra Short Duration,1907.0,1.43,5.52,6.03,5.03,-0.4,0.37,,
Tata Corp Bond Fund-Reg(G),Debt MF,DT-CORP,Debt : Corporate Bond,4021.0,0.86,5.9,7.09,,0.15,0.89,,
Tata CRISIL IBX Gilt Index - April 2026 Index Fund-Reg(G),Debt MF,DT-MD,Debt : Medium Duration,793.0,0.35,6.49,7.0,,0.13,1.8,,
Tata Floating Rate Fund-Reg(G),Debt MF,DT-FL,Debt : Floater,140.0,0.72,7.09,7.33,,0.21,1.14,,
Tata Gilt Securities Fund-Reg(G),Debt MF,DT-GILT,Debt : Gilt,1214.0,1.37,1.7,5.93,5.0,-0.01,0.18,,
Tata Liquid Fund-Reg(G),Debt MF,DT-LIQ,Debt : Liquid,33551.0,0.31,6.25,6.87,5.87,0.26,1.1,,
Tata Money Market Fund-Reg(G),Debt MF,DT-MM,Debt : Money Market,36819.0,0.41,6.91,7.36,6.3,0.53,0.45,,
Tata Nifty G-Sec Dec 2029 Index Fund-Reg(G),Debt MF,DT-M&LD,Debt : Medium to Long Duration,136.0,0.45,6.91,7.77,,0.26,0.28,,
Tata Overnight Fund-Reg(G),Debt MF,DT-ON,Debt : Overnight,4055.0,0.18,5.41,6.21,5.4,-0.73,1.2,,
Tata ST Bond Fund-Reg(G),Debt MF,DT-SD,Debt : Short Duration,3745.0,1.17,5.57,6.61,5.49,0.06,0.19,,
Tata Treasury Advantage Fund-Reg(G),Debt MF,DT-LOWD,Debt : Low Duration,3491.0,0.57,6.67,7.03,5.94,0.29,0.32,,
Tata Ultra Short Term Fund-Reg(G),Debt MF,DT-USD,Debt : Ultra Short Duration,3793.0,1.15,6.17,6.6,5.54,0.05,0.19,,
TRUSTMF Corporate Bond Fund-Reg(G),Debt MF,DT-CORP,Debt : Corporate Bond,125.0,0.65,5.82,6.7,,0.08,1.34,,
TRUSTMF Liquid Fund-Reg(G),Debt MF,DT-LIQ,Debt : Liquid,943.0,0.25,6.1,6.76,,0.12,3.73,,
TRUSTMF Money Market Fund-Reg(G),Debt MF,DT-MM,Debt : Money Market,132.0,0.46,6.5,6.98,,0.33,0.18,,
TRUSTMF Short Duration Fund-Reg(G),Debt MF,DT-SD,Debt : Short Duration,92.0,0.73,6.39,6.84,,0.12,0.3,,
Union Dynamic Bond Fund(G),Debt MF,DT-DYN,Debt : Dynamic Bond,100.0,1.57,1.05,5.45,4.41,-0.06,1.0,,
Union Gilt Fund-Reg(G),Debt MF,DT-GILT,Debt : Gilt,102.0,1.07,-0.29,5.14,,-0.06,0.8,,
Union Overnight Fund-Reg(G),Debt MF,DT-ON,Debt : Overnight,296.0,0.17,5.39,6.2,5.4,-0.74,2.63,,
UTI Annual Interval Fund-I-(G),Debt MF,DT-FMP,Debt : FTP/FMP,22.0,,5.51,6.38,6.16,-0.14,2.1,,
UTI Corporate Bond Fund-Reg(G),Debt MF,DT-CORP,Debt : Corporate Bond,5532.0,0.58,6.56,7.28,6.07,0.2,0.64,,
UTI Credit Risk Fund-Reg(G),Debt MF,DT-CR,Debt : Credit Risk,257.0,1.64,6.71,7.21,9.42,0.25,2.96,,
UTI CRISIL SDL Maturity April 2033 Index Fund-Reg(G),Debt MF,DT-LD,Debt : Long Duration,325.0,0.4,4.77,7.58,,0.14,2.52,,
UTI CRISIL SDL Maturity June 2027 Index Fund-Reg(G),Debt MF,DT-M&LD,Debt : Medium to Long Duration,66.0,0.4,7.21,7.62,,0.3,0.19,,
UTI Floater Fund-Reg(G),Debt MF,DT-FL,Debt : Floater,1554.0,0.87,6.59,6.86,5.72,0.13,0.45,,
UTI FTIF-XXXV-I(1260D)(G),Debt MF,DT-FMP,Debt : FTP/FMP,342.0,,6.24,6.89,,0.19,1.3,,
UTI Gilt Fund with 10 year Constant Duration-Reg(G),Debt MF,DT-GL10Y,Debt : Gilt (10 Yr Constant Duration),132.0,0.7,4.91,7.27,,0.14,2.28,,
UTI Liquid Fund-Reg(G),Debt MF,DT-LIQ,Debt : Liquid,27263.0,0.24,6.25,6.89,5.91,0.28,0.37,,
UTI Medium Duration Fund-Reg(G),Debt MF,DT-MD,Debt : Medium Duration,39.0,1.45,5.41,6.67,6.1,0.07,0.65,,
UTI Money Market Fund-Reg(G),Debt MF,DT-MM,Debt : Money Market,20320.0,0.22,6.98,7.41,6.32,0.57,0.18,,
UTI Nifty SDL Plus AAA PSU Bond Apr 2026 75:25 Index Fund-Reg(G),Debt MF,DT-MD,Debt : Medium Duration,172.0,0.4,6.47,7.11,,0.27,0.96,,
UTI Nifty SDL Plus AAA PSU Bond Apr 2028 75:25 Index Fund-Reg(G),Debt MF,DT-M&LD,Debt : Medium to Long Duration,35.0,0.39,7.24,7.67,,0.26,0.29,,
UTI Overnight Fund-Reg(G),Debt MF,DT-ON,Debt : Overnight,5552.0,0.12,5.45,6.26,5.45,-0.65,0.2,,
UTI Short Duration Fund-Reg(G),Debt MF,DT-SD,Debt : Short Duration,3090.0,0.83,6.43,7.18,7.06,0.2,0.31,,
Gold BeES ETF (Nippon),Gold,GOLD-ETF,Gold ETF,12000.0,0.5,53.38,48.04,45.37,1.56,49.54,,
Silver BeES ETF,Gold,SILVER-ETF,Silver ETF,800.0,0.4,76.81,69.13,,1.64,83.55,,
Nippon India Gold ETF,Gold,GOLD-ETF,Gold ETF,9500.0,0.49,53.76,47.31,44.08,1.62,45.65,,
Gold (Global Futures),Gold,GOLD-GLOBAL,Gold Commodity,,,51.44,47.32,45.27,1.36,39.0,,
